iter	Logloss
0	0.6655561674
1	0.6401370185
2	0.6203288833
3	0.6026444761
4	0.5858636213
5	0.5713349239
6	0.558603555
7	0.5459211833
8	0.5342887768
9	0.5259359025
10	0.5161265857
11	0.5081196019
12	0.5014630561
13	0.4951516894
14	0.4894646074
15	0.4840823954
16	0.4785014037
17	0.4741705656
18	0.4699155712
19	0.4655979057
20	0.4627773827
21	0.4596133417
22	0.4567854654
23	0.4534363353
24	0.4507318393
25	0.448147558
26	0.4462861033
27	0.444046935
28	0.4415053356
29	0.4394383092
30	0.4379180519
31	0.4356035523
32	0.4338752273
33	0.4325172279
34	0.4307256197
35	0.4292694702
36	0.4278140633
37	0.4265632216
38	0.4250760836
39	0.423931189
40	0.4226382343
41	0.4212319871
42	0.4202346833
43	0.4192244252
44	0.4181764614
45	0.417221289
46	0.4163383572
47	0.4153832921
48	0.4144357904
49	0.4135193926
50	0.4126354579
51	0.4119184506
52	0.4111439166
53	0.4103459633
54	0.4097962181
55	0.4091494198
56	0.4084309742
57	0.4077017396
58	0.4071768183
59	0.406625292
60	0.4061864056
61	0.4055932715
62	0.4050321654
63	0.4043154175
64	0.4039135744
65	0.4035308065
66	0.4030918598
67	0.4025164691
68	0.4020314982
69	0.4011827047
70	0.4008257365
71	0.4002865592
72	0.3999872106
73	0.3996634445
74	0.3993616983
75	0.3989970054
76	0.3984009336
77	0.397895225
78	0.3975521905
79	0.39724816
80	0.3970333544
81	0.3966350082
82	0.3959305378
83	0.3956402441
84	0.3953585916
85	0.394877104
86	0.3944743274
87	0.3940916356
88	0.393801005
89	0.3935781167
90	0.3931244834
91	0.3928237768
92	0.3924140699
93	0.3919886229
94	0.3915835113
95	0.3911211741
96	0.3908858421
97	0.390717416
98	0.3904989331
99	0.3901394652
